Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamName,HomeTeamNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2017,17,2017-07-29,15:00,7389945,YufbsIvYb,Finished,Ulinzi Stars,ULS,138498,Nzoia United,NZO,246033,1,1
Kenyan Premier League,2017,17,2017-07-29,16:15,7389948,IDFsavfb,Finished,AFC Leopards SC,LDS,76433,Western Stima FC,WST,138500,0,0
Kenyan Premier League,2017,17,2017-07-30,14:00,7389943,HvYbsnTid,Finished,Kariobangi Sharks,KAR,246032,Zoo F.C.,ZFC,397163,1,1
Kenyan Premier League,2017,17,2017-07-30,15:00,7389954,WufbsfxKb,Finished,Tusker,TUS,138496,Posta Rangers,PRA,213605,1,1
Kenyan Premier League,2017,17,2017-07-30,16:15,7389939,gLdbsFRid,Finished,Gor Mahia FC,GOR,134306,Dandora Love,DLO,397130,2,2
Kenyan Premier League,2017,18,2017-08-02,14:00,7389961,WufbsfxKb,Finished,Posta Rangers,PRA,213605,Tusker,TUS,138496,1,1
Kenyan Premier League,2017,18,2017-08-02,15:00,7389933,zufbsPufb,Finished,Bandari FC,BAN,138474,Sony Sugar,SSU,138490,0,0
Kenyan Premier League,2017,18,2017-08-02,15:00,7389962,HufbsexKb,Finished,Mathare United,MAU,138482,Kakamega Homeboyz,KAH,213604,1,1
Kenyan Premier League,2017,18,2017-08-02,15:00,7389946,JufbsNufb,Finished,Muhoroni Youth FC,MUY,138484,Sofapaka,SOF,138488,2,2
Kenyan Premier League,2017,18,2017-08-02,15:00,7389963,YufbsIvYb,Finished,Nzoia United,NZO,246033,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,2017,18,2017-08-02,15:00,7389955,IDFsavfb,Finished,Western Stima FC,WST,138500,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2017,18,2017-08-02,15:00,7389964,HvYbsnTid,Finished,Zoo F.C.,ZFC,397163,Kariobangi Sharks,KAR,246032,3,3
